 I enjoy learning mathematics,   I feel confident when solving math problems ,  Mathematics is useful in real life  ,  I get anxious during mathematics lessons  ,  I believe I can perform well in mathematics  ,  There are enough mathematics textbooks for all students  ,"  The school provides mathematical instruments (rulers, compasses, sets)  ",  Teachers use relevant teaching aids like charts and models  ,  Students have access to practice tests and past papers for mathematics  ,  Learning materials are updated to reflect the current syllabus  ,NAME OF THE SCHOOL.,SUB-COUNTY,COUNTY,GENDER
Disagree,Agree,Neutral,Agree,Agree,Neutral,Strongly Agree,Agree,Neutral,Agree,Nyalunya_Mixed,Wagai ,Siaya,Female
Agree,Neutral,Agree,Strongly Agree,Disagree,Neutral,Strongly Disagree,Strongly Disagree,Neutral,,Nyalunya_Mixed,Wagai ,Siaya,Female
Agree,Strongly agree,Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,Disagree,Agree,Strongly disagree,Nyalunya_Mixed,Wagai ,Siaya,Male
Agree,Strongly agree,Neutral,Disagree,Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Disagree,Nyalunya_Mixed,Wagai ,Siaya,Male
Agree,Agree,Agree,Strongly Agree,Strongly agree,Disagree,Disagree,Disagree,Neutral,Agree,Nyalunya_Mixed,Wagai ,Siaya,Female
Neutral,Neutral,Disagree,Strongly Agree,Strongly agree,Strongly Agree,Disagree,Agree,Agree,Agree,Nyalunya_Mixed,Wagai ,Siaya,Female
Disagree,Neutral,Strongly agree,Neutral,Neutral,Agree,Agree,Neutral,Disagree,Neutral,Nyalunya_Mixed,Wagai ,Siaya,Female
Neutral,Agree,Agree,Disagree,Strongly disagree,Agree,Disagree,Neutral,Agree,Agree,Nyalunya_Mixed,Wagai ,Siaya,Male
Disagree,Neutral,Strongly agree,Agree,Strongly agree,Strongly Agree,Neutral,Disagree,Strongly Agree,Agree,Nyalunya_Mixed,Wagai,Siaya,Female
Agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly agree,Nyalunya_Mixed,Wagai ,Siaya,Female
Disagree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly agree,Nyalunya_Mixed,Wagai ,Siaya,Female
