Name Of The School.,Sub-County,County,Gender,Attitude,Availability of learning materials
Malele_Mixed,Wagai ,Siaya ,Male,4.8,3.2
Malele_Mixed,Wagai ,Siaya ,Male,5.0,3.4
Ojola_Mixed,Wagai ,Siaya ,Male,3.4,2.6
Malele_Mixed,Wagai ,Siaya ,Male,5.0,4.2
Malele_Mixed,Wagai ,Siaya ,Male,4.8,3.2
Ojola_Mixed,Wagai ,Siaya ,Female,3.8,3.6
Malele_Mixed,Wagai ,Siaya ,Male,4.4,2.0
Malele_Mixed,Wagai ,Siaya ,Male,5.0,3.4
Malele_Mixed,Wagai ,Siaya ,Male,4.6,3.2
Ojola_Mixed,Wagai ,Siaya ,Female,4.4,3.4
Malele_Mixed,Wagai ,Siaya ,Female,4.2,2.2
Malele_Mixed,Wagai ,Siaya ,Male,4.4,1.8
Malele_Mixed,Wagai ,Siaya ,Male,4.4,2.8
Malele_Mixed,Wagai ,Siaya ,Male,4.8,3.2
